Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Strategy,Thematic,Children,Party,Abstract,War,Family,Customizable
2012.0,2,5,120,13,16277,7.72,3.01,18747.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,2,4,90,14,8865,7.85,3.27,12088.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,2,4,90,12,9188,7.86,2.54,13715.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,2,4,180,14,7516,7.97,3.83,11900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,2,4,90,14,12665,7.8,2.88,16477.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,1,4,90,8,6450,8.04,2.32,12360.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2012.0,2,2,45,14,23061,7.69,2.49,38018.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2014.0,2,4,120,13,18250,7.67,3.9,23577.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008.0,2,4,90,10,44975,7.57,2.48,47743.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014.0,1,5,60,17,11251,7.79,2.7,16119.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,1,4,135,14,4245,8.21,4.05,7957.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,2,5,90,13,6265,8.02,2.8,8879.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014.0,2,2,20,12,35947,7.58,1.94,52271.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,1,5,120,14,22715,7.69,3.2,35659.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,1,100,45,10,10754,7.76,1.91,19320.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2019.0,2,4,60,12,9719,7.8,2.59,13790.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002.0,1,6,120,13,8871,7.78,3.9,9636.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014.0,2,5,60,10,25234,7.58,2.58,30353.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,2,5,60,8,58608,7.55,1.94,83075.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014.0,2,5,120,13,39287,7.57,3.02,53328.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
